YEAR,DATE,HOUR,MINUTE,location-long,location-lat,SPECIES,TAG,individual-local-identifier
2018,13-Jul,23,0,0.275736,36.891067,Stigmochelys pardalis,4170,Io
2018,13-Jul,20,0,0.275741,36.891101,Stigmochelys pardalis,4170,Io
2018,14-Jul,0,0,0.275763,36.891082,Stigmochelys pardalis,4170,Io
2018,13-Jul,16,0,0.275841,36.891159,Stigmochelys pardalis,4170,Io
2018,14-Jul,12,0,0.275858,36.891162,Stigmochelys pardalis,4170,Io
2018,13-Jul,12,0,0.276986,36.889873,Stigmochelys pardalis,4170,Io
2018,16-Jul,12,0,0.278111,36.889442,Stigmochelys pardalis,4170,Io
2018,17-Jul,12,0,0.278125,36.889446,Stigmochelys pardalis,4170,Io
2018,15-Jul,12,0,0.278145,36.889358,Stigmochelys pardalis,4170,Io
2018,16-Jul,16,0,0.27815,36.889408,Stigmochelys pardalis,4170,Io
2018,16-Jul,20,0,0.278153,36.889446,Stigmochelys pardalis,4170,Io
2018,15-Jul,23,0,0.278171,36.889408,Stigmochelys pardalis,4170,Io
2018,15-Jul,20,0,0.278173,36.889434,Stigmochelys pardalis,4170,Io
2018,16-Jul,0,0,0.278176,36.889434,Stigmochelys pardalis,4170,Io
2018,16-Jul,23,0,0.278176,36.889415,Stigmochelys pardalis,4170,Io
2018,17-Jul,0,0,0.278178,36.889423,Stigmochelys pardalis,4170,Io
2018,14-Jul,16,0,0.27818,36.889415,Stigmochelys pardalis,4170,Io
2018,14-Jul,23,0,0.278195,36.889408,Stigmochelys pardalis,4170,Io
2018,15-Jul,0,0,0.278196,36.889427,Stigmochelys pardalis,4170,Io
2018,14-Jul,20,0,0.278196,36.889427,Stigmochelys pardalis,4170,Io
2018,15-Jul,16,0,0.278311,36.889369,Stigmochelys pardalis,4170,Io
2018,12-Jul,16,0,0.279418,36.88935,Stigmochelys pardalis,4170,Io
2018,12-Jul,12,0,0.27989,36.889499,Stigmochelys pardalis,4170,Io
2018,11-Jul,20,0,0.279906,36.889598,Stigmochelys pardalis,4170,Io
2018,12-Jul,0,0,0.279925,36.88953,Stigmochelys pardalis,4170,Io
2018,12-Jul,23,0,0.27993,36.889472,Stigmochelys pardalis,4170,Io
2018,13-Jul,0,0,0.279935,36.889453,Stigmochelys pardalis,4170,Io
2018,11-Jul,23,0,0.279936,36.889511,Stigmochelys pardalis,4170,Io
2018,12-Jul,20,0,0.279945,36.889598,Stigmochelys pardalis,4170,Io
2018,11-Jul,16,0,0.279966,36.889465,Stigmochelys pardalis,4170,Io
2018,10-Jul,0,0,0.280109,36.889919,Stigmochelys pardalis,4170,Io
2018,10-Jul,12,0,0.280145,36.889827,Stigmochelys pardalis,4170,Io
2018,10-Jul,20,0,0.280216,36.889728,Stigmochelys pardalis,4170,Io
2018,11-Jul,12,0,0.28023,36.889747,Stigmochelys pardalis,4170,Io
2018,11-Jul,0,0,0.280246,36.88974,Stigmochelys pardalis,4170,Io
2018,10-Jul,23,0,0.280249,36.889728,Stigmochelys pardalis,4170,Io
2018,10-Jul,16,0,0.280281,36.889732,Stigmochelys pardalis,4170,Io
2018,17-Jul,23,0,0.280851,36.891578,Stigmochelys pardalis,4170,Io
2018,18-Jul,0,0,0.280853,36.891578,Stigmochelys pardalis,4170,Io
2018,17-Jul,20,0,0.280868,36.891563,Stigmochelys pardalis,4170,Io
2018,17-Jul,16,0,0.280958,36.891735,Stigmochelys pardalis,4170,Io
2018,18-Jul,12,0,0.281446,36.890815,Stigmochelys pardalis,4170,Io
2018,18-Jul,23,0,0.28244,36.891132,Stigmochelys pardalis,4170,Io
2018,18-Jul,16,0,0.282448,36.891105,Stigmochelys pardalis,4170,Io
2018,18-Jul,20,0,0.282458,36.891178,Stigmochelys pardalis,4170,Io
2018,19-Jul,0,0,0.282468,36.89117,Stigmochelys pardalis,4170,Io
2018,19-Jul,12,0,0.283841,36.890941,Stigmochelys pardalis,4170,Io
2018,20-Jul,12,0,0.284825,36.890026,Stigmochelys pardalis,4170,Io
2018,19-Jul,16,0,0.284863,36.889923,Stigmochelys pardalis,4170,Io
2018,20-Jul,0,0,0.284873,36.889999,Stigmochelys pardalis,4170,Io
2018,19-Jul,23,0,0.284883,36.889987,Stigmochelys pardalis,4170,Io
2018,19-Jul,20,0,0.28492,36.889957,Stigmochelys pardalis,4170,Io
2018,10-Aug,12,0,0.287306,36.888282,Stigmochelys pardalis,4170,Io
2018,11-Aug,12,0,0.287314,36.888271,Stigmochelys pardalis,4170,Io
2018,9-Aug,20,0,0.287316,36.888271,Stigmochelys pardalis,4170,Io
2018,12-Aug,12,0,0.287331,36.888244,Stigmochelys pardalis,4170,Io
2018,12-Aug,16,0,0.287331,36.888263,Stigmochelys pardalis,4170,Io
2018,10-Aug,16,0,0.287338,36.888271,Stigmochelys pardalis,4170,Io
2018,9-Aug,12,0,0.287343,36.888031,Stigmochelys pardalis,4170,Io
2018,8-Aug,20,0,0.28735,36.888004,Stigmochelys pardalis,4170,Io
2018,11-Aug,16,0,0.287353,36.88824,Stigmochelys pardalis,4170,Io
2018,12-Aug,0,0,0.287358,36.888301,Stigmochelys pardalis,4170,Io
2018,11-Aug,0,0,0.28736,36.88829,Stigmochelys pardalis,4170,Io
2018,11-Aug,20,0,0.287375,36.888263,Stigmochelys pardalis,4170,Io
2018,10-Aug,20,0,0.287378,36.888278,Stigmochelys pardalis,4170,Io
2018,9-Aug,23,0,0.287378,36.888271,Stigmochelys pardalis,4170,Io
2018,9-Aug,16,0,0.287381,36.887996,Stigmochelys pardalis,4170,Io
2018,12-Aug,20,0,0.287383,36.888263,Stigmochelys pardalis,4170,Io
2018,8-Aug,23,0,0.287386,36.888088,Stigmochelys pardalis,4170,Io
2018,12-Aug,23,0,0.287393,36.888336,Stigmochelys pardalis,4170,Io
2018,10-Aug,23,0,0.287395,36.88832,Stigmochelys pardalis,4170,Io
2018,9-Aug,0,0,0.287398,36.888069,Stigmochelys pardalis,4170,Io
2018,10-Aug,0,0,0.287403,36.888271,Stigmochelys pardalis,4170,Io
2018,11-Aug,23,0,0.287406,36.888278,Stigmochelys pardalis,4170,Io
2018,7-Aug,20,0,0.288041,36.889263,Stigmochelys pardalis,4170,Io
2018,7-Aug,16,0,0.288046,36.889236,Stigmochelys pardalis,4170,Io
2018,8-Aug,12,0,0.288084,36.889251,Stigmochelys pardalis,4170,Io
2018,8-Aug,16,0,0.288084,36.889194,Stigmochelys pardalis,4170,Io
2018,8-Aug,0,0,0.288088,36.889293,Stigmochelys pardalis,4170,Io
2018,7-Aug,23,0,0.288091,36.889274,Stigmochelys pardalis,4170,Io
2018,26-Jul,23,0,0.288236,36.892097,Stigmochelys pardalis,4170,Io
2018,26-Jul,16,0,0.288238,36.89215,Stigmochelys pardalis,4170,Io
2018,25-Jul,23,0,0.28824,36.892124,Stigmochelys pardalis,4170,Io
2018,25-Jul,16,0,0.288243,36.89215,Stigmochelys pardalis,4170,Io
2018,27-Jul,16,0,0.288243,36.892105,Stigmochelys pardalis,4170,Io
2018,26-Jul,12,0,0.288246,36.892131,Stigmochelys pardalis,4170,Io
2018,28-Jul,16,0,0.288248,36.89215,Stigmochelys pardalis,4170,Io
2018,28-Jul,23,0,0.28825,36.892162,Stigmochelys pardalis,4170,Io
2018,28-Jul,12,0,0.288251,36.892154,Stigmochelys pardalis,4170,Io
