YEAR,DATE,HOUR,MINUTE,location-long,location-lat,SPECIES,TAG,individual-local-identifier
2018,19-Jul,20,0,0.387881,36.913192,Stigmochelys pardalis,41711,Charlie
2018,20-Jul,0,0,0.387891,36.913192,Stigmochelys pardalis,41711,Charlie
2018,19-Jul,23,0,0.387889,36.913188,Stigmochelys pardalis,41711,Charlie
2018,19-Jul,16,0,0.387865,36.913169,Stigmochelys pardalis,41711,Charlie
2018,20-Jul,4,0,0.387889,36.913169,Stigmochelys pardalis,41711,Charlie
2018,20-Jul,12,0,0.387666,36.913143,Stigmochelys pardalis,41711,Charlie
2018,20-Jul,8,0,0.387818,36.913131,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,16,0,0.386398,36.912933,Stigmochelys pardalis,41711,Charlie
2018,16-Jul,20,0,0.386338,36.912914,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,0,0,0.386374,36.912906,Stigmochelys pardalis,41711,Charlie
2018,18-Jul,0,0,0.386381,36.912906,Stigmochelys pardalis,41711,Charlie
2018,19-Jul,12,0,0.386293,36.912902,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,12,0,0.386333,36.912902,Stigmochelys pardalis,41711,Charlie
2018,16-Jul,0,0,0.386376,36.912902,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,4,0,0.386376,36.912902,Stigmochelys pardalis,41711,Charlie
2018,18-Jul,20,0,0.386318,36.912895,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,16,0,0.38637,36.912895,Stigmochelys pardalis,41711,Charlie
2018,16-Jul,23,0,0.386374,36.912895,Stigmochelys pardalis,41711,Charlie
2018,16-Jul,4,0,0.386398,36.912895,Stigmochelys pardalis,41711,Charlie
2018,19-Jul,4,0,0.38634,36.912883,Stigmochelys pardalis,41711,Charlie
2018,18-Jul,4,0,0.386376,36.912876,Stigmochelys pardalis,41711,Charlie
2018,16-Jul,8,0,0.386466,36.912876,Stigmochelys pardalis,41711,Charlie
2018,18-Jul,12,0,0.386303,36.912868,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,23,0,0.386388,36.912868,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,8,0,0.386401,36.912868,Stigmochelys pardalis,41711,Charlie
2018,17-Jul,20,0,0.386433,36.912868,Stigmochelys pardalis,41711,Charlie
2018,19-Jul,0,0,0.386351,36.912857,Stigmochelys pardalis,41711,Charlie
